date,human,generic_bot,ai_bot
2026-01-01,1246153,936598,35973
2026-01-02,1093347,538951,51183
2026-01-03,1092761,634537,46243
2026-01-04,1209679,1388432,68765
2026-01-05,1310661,725526,67765
2026-01-06,1497562,552366,44543
2026-01-07,1419724,468841,34121
2026-01-08,1447067,385986,40117
2026-01-09,1451045,407341,33430
2026-01-10,1375377,482952,34205
2026-01-11,1229129,464204,33572
2026-01-12,1427322,547723,25104
2026-01-13,1565917,603387,31748
2026-01-14,1355424,619742,40388
2026-01-15,1554733,946367,39708
2026-01-16,1573642,593047,43246
2026-01-17,1347506,572918,45886
2026-01-18,1220775,484257,56651
2026-01-19,1807159,583161,51055
2026-01-20,1846738,543727,54006
2026-01-21,5599910,775293,64335
2026-01-22,2232034,598994,63170
2026-01-23,1321638,409733,46220
2026-01-24,1217788,517725,52292
2026-01-25,1254723,543365,47477
2026-01-26,1351145,533237,51997
2026-01-27,2232166,412829,44713
2026-01-28,4043342,369622,62311
2026-01-29,1396885,362619,62745
2026-01-30,1086127,356519,69417
2026-01-31,378531,508426,81064
2026-02-01,389046,554291,92100
2026-02-02,539679,542425,91113
2026-02-03,581002,870380,117763
2026-02-04,523980,612725,81177
2026-02-05,535464,616946,84013
2026-02-06,478609,557086,126294
2026-02-07,400662,450449,116762
2026-02-08,420711,542893,214562
2026-02-09,512170,726945,212016
2026-02-10,482476,720626,210874
2026-02-11,405421,567808,136538
2026-02-12,401920,468572,47735
2026-02-13,389558,442610,54657
2026-02-14,252709,438199,64910
2026-02-15,215452,543248,151903
2026-02-16,228212,548417,66769
2026-02-17,212729,557584,87837
2026-02-18,265199,568073,67285
2026-02-19,223271,469159,98706
2026-02-20,252200,449851,101365
2026-02-21,247585,468845,109109
2026-02-22,276042,337259,105113
2026-02-23,322761,426182,97524
2026-02-24,375460,481080,82957
2026-02-25,387895,484436,91615
2026-02-26,409191,481838,126598
2026-02-27,494099,514287,128629
2026-02-28,448136,559028,131332
2026-03-01,395394,607459,74333
2026-03-02,512132,689587,105435
2026-03-03,457797,779501,116004
2026-03-04,364261,771800,80879
2026-03-05,159088,791566,59491
2026-03-06,450868,705302,48757
2026-03-07,496920,610524,48217
2026-03-08,526252,552625,44533
2026-03-09,546555,848488,39900
2026-03-10,423997,839120,58107
2026-03-11,651182,694717,55258
2026-03-12,541896,615859,61051
2026-03-13,436867,550215,50890
2026-03-14,465628,620599,45709
2026-03-15,418990,770515,71211
2026-03-16,547346,807085,101156
2026-03-17,683322,671049,92599
2026-03-18,565087,681232,91590
2026-03-19,482251,783803,85042
2026-03-20,426380,738080,80168
2026-03-21,364505,684515,73911
2026-03-22,346290,620920,70982
2026-03-23,416288,634836,91607
2026-03-24,485994,732247,80220
2026-03-25,532429,918425,87927
2026-03-26,421396,763103,81564
2026-03-27,350353,667678,78129
2026-03-28,300196,728961,81975
2026-03-29,336932,761631,77723
2026-03-30,410525,755505,90074
2026-03-31,379979,814738,80395
2026-04-01,282,524,64
Mozilla/5.,86,0,0
